target_name,transaction_id,"Announced Date
MM/dd/yyyy",transaction_type,transaction_status,transaction_value_usd_m,buyer_name,seller_name,gics_industry,pct_equity_acquired,"Implied Enterprise Value/ Total Revenue
(x)",target_ebitda_usd_m,"Total Transaction Value
($M).1",change_in_control,ev_ebitda_multiple,target_company_type,geography,buyer_company_type,"Company Type
(Seller)",sector_tag
Convex Group Limited,SPTRD2177296,2025-10-30 00:00:00,M&A - Whole,Completed,7000.0,"American International Group, Inc. (NYSE:AIG); Onex Corporation (TSX:ONEX)","GIC Private Limited; Onex Corporation (TSX:ONEX); Public Sector Pension Investment Board; Onex Partners V LP; Sixth Street Partners, LLC",Property and Casualty Insurance,100.0,,620.41,7000,Yes,11.28,,United States and Canada,"American International Group, Inc. (Public Company)

Onex Corporation (Public Company)",Onex Corporation (Public Company),financials
"CoreLogic, Inc.",SPTRD1749396,2020-06-26 00:00:00,M&A - Whole,Terminated/Withdrawn,6021.045685,"Senator Investment Group LP; Cannae Holdings, Inc. (NYSE:CNNE)","CoreLogic, Inc. (:CLGX)",Financial Exchanges and Data,85.0,3.79963164192591,,6021.045685,Yes,17.9,,United States and Canada,"Cannae Holdings, Inc. (Public Company)",,financials
Cowen Inc.,SPTRD1975126,2022-08-02 00:00:00,M&A - Whole,Completed,1316.146494,The Toronto-Dominion Bank (TSX:TD),Cowen Inc. (:COWN),Investment Banking and Brokerage,100.0,,363.492,1316.146494,Yes,3.15,,United States and Canada,The Toronto-Dominion Bank (Public Company),,financials
Credit Suisse Group AG,SPTRD2015818,2023-03-19 00:00:00,M&A - Whole,Completed,3536.37541518799,UBS Group AG (SWX:UBSG),Credit Suisse Group AG (:CSGN),Diversified Capital Markets,100.0,,,3536.37541518799,Yes,0.59,,Europe,UBS Group AG (Public Company),,financials
CreXus Investment Corp.,SPTRD169291,2013-01-31 00:00:00,M&A - Whole,Completed,875.832,"Annaly Capital Management, Inc. (NYSE:NLY)","Annaly Commercial Real Estate Group, Inc. (:CXS)",Diversified Financial Services,87.57,,66.443,875.832,Yes,10.7,,United States and Canada,"Annaly Capital Management, Inc. (Public Company)",,financials
"CYS Investments, Inc.",SPTRD1428815,2018-04-26 00:00:00,M&A - Whole,Completed,1149.834257,Two Harbors Investment Corp. (NYSE:TWO),"CYS Investments, Inc. (:CYS)",Mortgage REITs,100.0,,148.203,1149.834257,Yes,5.91,,United States and Canada,Two Harbors Investment Corp. (Public Company),,financials
Dun & Bradstreet Corporation,SPTRD1470447,2018-08-08 00:00:00,M&A - Whole,Completed,6577.176469,"Thomas H. Lee Partners, L.P.; Black Knight, Inc. (:BKI); Cannae Holdings, Inc. (NYSE:CNNE); CC Capital Partners, LLC","Dun & Bradstreet Holdings, Inc. (:DNB)",Financial Exchanges and Data,100.0,3.6376242176383,517.1,6577.176469,Yes,11.83,,United States and Canada,"Cannae Holdings, Inc. (Public Company)",,financials
"Eastern Insurance Holdings, Inc.",SPTRD189990,2013-09-24 00:00:00,M&A - Whole,Completed,205.181946,ProAssurance Corporation (NYSE:PRA),"Eastern Insurance Holdings, Inc. (:EIHI)",Property and Casualty Insurance,100.0,,20.473,205.181946,Yes,10.95,,United States and Canada,ProAssurance Corporation (Public Company),,financials
Eaton Vance Corp.,SPTRD1770887,2020-10-08 00:00:00,M&A - Whole,Completed,9154.153686,Morgan Stanley (NYSE:MS),Eaton Vance Corp. (:EV),Asset Management and Custody Banks,100.0,,311.509,9154.153686,Yes,13.45,,United States and Canada,Morgan Stanley (Public Company),,financials
"EVO Payments, Inc.",SPTRD1974870,2022-08-01 00:00:00,M&A - Whole,Completed,3030.949762,Global Payments Inc. (NYSE:GPN),"EVO Payments, Inc. (:EVOP)",Transaction and Payment Processing Services,100.0,,155.199,3030.949762,Yes,20.26,,United States and Canada,Global Payments Inc. (Public Company),,financials
FGL Holdings,SPTRD1704850,2020-02-07 00:00:00,M&A - Whole,Completed,2128.034298,"Fidelity National Financial, Inc. (NYSE:FNF)","F&G Annuities & Life, Inc. (NYSE:FG)",Diversified Financial Services,92.1,,128.0,2128.034298,Yes,4.21,"F&G Annuities & Life, Inc. (Public Company)",Latin America and Caribbean,"Fidelity National Financial, Inc. (Public Company)","F&G Annuities & Life, Inc. (Public Company)",financials
First Data Corporation,SPTRD1529842,2019-01-16 00:00:00,M&A - Whole,Completed,49456.447816,"Fiserv, Inc. (NASDAQGS:FISV)",KKR & Co. Inc. (NYSE:KKR),Transaction and Payment Processing Services,100.0,,3310.0,49456.447816,Yes,12.82,,United States and Canada,"Fiserv, Inc. (Public Company)",KKR & Co. Inc. (Public Company),financials
Genworth MI Canada Inc.,SPTRD1606463,2019-08-13 00:00:00,M&A - Whole,Completed,1741.922779,Brookfield Business Corporation (TSX:BBUC),"Genworth Financial, Inc. (NYSE:GNW)",Commercial and Residential Mortgage Finance,56.9,,427.936216433792,1741.922779,Yes,7.17,,United States and Canada,Brookfield Business Corporation (Public Company),"Genworth Financial, Inc. (Public Company)",financials
Goldman Sachs Private Middle Market Credit LLC,SPTRD2112234,2024-11-01 00:00:00,M&A - Whole,Completed,257.043442,Pantheon Silver Holdings LLC,"The Goldman Sachs Group, Inc. (NYSE:GS); Goldman Sachs Private Middle Market Credit LLC",Asset Management and Custody Banks,100.0,,-2.765,257.043442,Yes,10.81,,United States and Canada,,"The Goldman Sachs Group, Inc. (Public Company)",financials
Great American Life Insurance Company,SPTRD1800374,2021-01-27 00:00:00,M&A - Whole,Completed,3500.0,Massachusetts Mutual Life Insurance Company,"American Financial Group, Inc. (NYSE:AFG)",Life and Health Insurance,100.0,,461.0,3500,Yes,7.59,,United States and Canada,,"American Financial Group, Inc. (Public Company)",financials
"GreenSky, Inc.",SPTRD1906202,2021-09-15 00:00:00,M&A - Whole,Completed,1854.502654,"The Goldman Sachs Group, Inc. (NYSE:GS)","GreenSky, Inc. (:GSKY)",Transaction and Payment Processing Services,100.0,,171.422,1854.502654,Yes,17.0,,United States and Canada,"The Goldman Sachs Group, Inc. (Public Company)",,financials
"Hartford Financial Services Group, Inc.",SPTRD1819839,2021-03-18 00:00:00,M&A - Whole,Terminated/Withdrawn,23238.430475,Chubb Limited (NYSE:CB),"The Hartford Insurance Group, Inc. (NYSE:HIG)",Multi-line Insurance,100.0,,,23238.430475,Yes,7.96,"The Hartford Insurance Group, Inc. (Public Company)",United States and Canada,Chubb Limited (Public Company),"The Hartford Insurance Group, Inc. (Public Company)",financials
"HI Investment & Securities Co., Ltd.",SPTRD1422310,2017-11-08 00:00:00,M&A - Whole,Completed,394.2873,"iM Financial Group Co., Ltd. (KOSE:A139130)","Hd Hyundai Mipo Co.,Ltd. (:A010620)",Investment Banking and Brokerage,85.32,,117.162032222772,394.2873,Yes,13.79,,Asia-Pacific,"iM Financial Group Co., Ltd. (Public Company)","Hd Hyundai Mipo Co.,Ltd. (Public Company)",financials
Infinity Property and Casualty Corporation,SPTRD1367927,2018-02-13 00:00:00,M&A - Whole,Completed,1559.485587,Kemper Corporation (NYSE:KMPR),Infinity Property and Casualty Corporation (:IPCC),Property and Casualty Insurance,100.0,,141.619,1559.485587,Yes,9.99,,United States and Canada,Kemper Corporation (Public Company),,financials
